symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,signal_type,objective_a_score,objective_a_category_boost,objective_a_component_score,objective_a_confidence,objective_a_alert,b2_current_cases,b2_growth_rate,b2_incidence_proportion,b2_hospitals_observed,b2_component_symptoms_observed,b2_incidence_score,b3_max_z_score,b3_max_deviation_percent,b3_elevated_hospitals,b3_abnormal_hospitals,b3_baseline_score,b5_growth_acceleration,b5_change_points,b5_exponential_growth,b5_temporal_score,b6_max_consecutive_weeks,b6_cross_hospital_consecutive_weeks,b6_elevated_hospitals,b6_persistence_score,b7_affected_hospitals,b7_newly_affected_hospitals,b7_propagation_edges,b7_affected_regions,b7_spatial_score,epidemiological_evidence_score,b8_integration_score,b8_alert,b8_integration_signal,objective_a_explanation,b8_explanation
Fatigue + Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,36.93,0.0,36.93,92.85,LOW,6436.0,-14.8886,0.854692,10,4,40.0,1.322,25.62,0,1,31.92,0.0,0.0,0.0,0.0,6.0,5.0,2.0,30.0,1.0,0.0,0.0,1.0,3.0,22.93,46.1,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence is currently limited. Final emerging-signal score: 36.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 36.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 25.6%. persistence reaches 6 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. combined epidemiological corroboration score is 22.9. the available evidence does not currently support an elevated integrated surveillance alert.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,D002,Malaria,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.22,0.0,39.22,85.03,LOW,6436.0,-14.8886,0.854692,10,8,40.0,0.629,41.18,0,0,23.88,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.14,0.0,0.0,0.0,0.0,0.0,16.44,45.8,GREEN,False,The pattern is consistent with the expected presentation of Malaria. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 41.2%. combined epidemiological corroboration score is 16.4. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.21,0.0,39.21,85.25,LOW,6436.0,-14.8886,0.854692,10,7,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,44.78,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the available evidence does not currently support an elevated integrated surveillance alert.
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,D002,Malaria,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,38.21,0.0,38.21,85.85,LOW,6436.0,-14.8886,0.854692,10,7,40.0,0.586,41.18,0,0,23.09,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.14,0.0,0.0,0.0,0.0,0.0,16.24,44.71,GREEN,False,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 38.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.59. with a maximum deviation of 41.2%. combined epidemiological corroboration score is 16.2. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.7,0.0,39.7,87.33,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,44.63,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.7/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.7. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.6,0.0,39.6,85.28,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,44.53,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.6/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.6. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,39.77,0.0,39.77,92.05,LOW,6436.0,-14.8886,0.854692,10,4,40.0,-0.06,-0.87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,10.67,44.04,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.8/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 39.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. combined epidemiological corroboration score is 10.7. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,37.21,0.0,37.21,85.04,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.629,5.45,0,0,13.16,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.93,42.78,GREEN,False,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 37.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 37.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 5.5%. combined epidemiological corroboration score is 13.9. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,36.86,0.0,36.86,96.37,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,42.57,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 36.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,36.51,0.0,36.51,91.17,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,42.22,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.5/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 36.5. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,36.92,0.0,36.92,88.69,LOW,6436.0,-14.8886,0.854692,10,5,40.0,-0.06,-0.87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0,10.67,41.19,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 36.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. combined epidemiological corroboration score is 10.7. the available evidence does not currently support an elevated integrated surveillance alert.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,35.82,0.0,35.82,79.05,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.307,13.68,0,0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,12.97,41.01,GREEN,False,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.8/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 35.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.31. with a maximum deviation of 13.7%. combined epidemiological corroboration score is 13.0. the available evidence does not currently support an elevated integrated surveillance alert.
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,35.3,0.0,35.3,79.05,LOW,6436.0,-14.8886,0.854692,10,6,40.0,0.307,13.68,0,0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,12.97,40.49,GREEN,False,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.3/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 35.3. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.31. with a maximum deviation of 13.7%. combined epidemiological corroboration score is 13.0. the available evidence does not currently support an elevated integrated surveillance alert.
Diarrhoea + Fever + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,35.44,0.0,35.44,92.29,LOW,6436.0,-14.8886,0.854692,10,3,40.0,-0.187,-1.38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,39.44,GREEN,False,The pattern is consistent with the expected presentation of Acute Gastroenteritis. Clinical evidence is currently limited. Final emerging-signal score: 35.4/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 35.4. the strongest component symptom has 6436 current cases. with -14.9% recent growth. combined epidemiological corroboration score is 10.0. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,33.53,0.0,33.53,95.4,LOW,1431.0,-11.3188,0.188766,10,5,40.0,1.708,110.0,1,1,64.32,0.0,0.0,0.0,0.0,12.0,11.0,2.0,30.0,1.0,1.0,1.0,1.0,11.0,32.23,23.21,GREEN,False,The pattern is consistent with the expected presentation of Acute Gastroenteritis. Clinical evidence is currently limited. Final emerging-signal score: 33.5/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 33.5. the strongest component symptom has 1431 current cases. with -11.3% recent growth. baseline evidence reaches z=1.71. with a maximum deviation of 110.0%. 1 hospital-level baseline observation(s) are elevated. persistence reaches 12 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. 1 hospital(s) are newly affected. 1 propagation edge(s) are present. combined epidemiological corroboration score is 32.2. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,34.71,0.0,34.71,93.03,LOW,6436.0,-14.8886,0.854692,10,3,40.0,1.322,25.62,0,1,31.92,0.0,0.0,0.0,0.0,6.0,5.0,2.0,30.0,1.0,0.0,0.0,1.0,3.0,22.93,21.94,GREEN,False,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is present across several hospitals. Clinical evidence is currently limited. Final emerging-signal score: 34.7/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 34.7. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=1.32. with a maximum deviation of 25.6%. persistence reaches 6 consecutive abnormal weeks. 1 hospital(s) show spatial evidence. combined epidemiological corroboration score is 22.9. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,34.91,0.0,34.91,88.81,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,20.31,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 34.9/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 34.9. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,D002,Malaria,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,33.26,0.0,33.26,81.84,LOW,6436.0,-14.8886,0.854692,10,7,40.0,0.629,41.18,0,0,23.88,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.14,0.0,0.0,0.0,0.0,0.0,16.44,19.92,GREEN,False,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 33.3/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 33.3. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 41.2%. combined epidemiological corroboration score is 16.4. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,33.71,0.0,33.71,89.57,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.45,0.0,0.0,0.0,0.0,0.0,14.28,19.71,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 33.7/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 33.7. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.3. the available evidence does not currently support an elevated integrated surveillance alert.
Dry Cough + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,32.82,0.0,32.82,80.15,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.3,4.08,0,0,6.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,18.75,GREEN,False,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 32.8/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 32.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 11.7. the available evidence does not currently support an elevated integrated surveillance alert.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,31.46,0.0,31.46,77.78,LOW,6436.0,-14.8886,0.854692,10,8,40.0,0.337,17.07,0,0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,13.47,18.42,GREEN,False,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 31.5/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 31.5. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.34. with a maximum deviation of 17.1%. combined epidemiological corroboration score is 13.5. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Muscle Pain + Rash,D003,Chikungunya,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,30.75,0.0,30.75,94.55,LOW,6436.0,-14.8886,0.854692,10,3,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,17.84,GREEN,False,The pattern is consistent with the expected presentation of Chikungunya. Clinical evidence is currently limited. Final emerging-signal score: 30.8/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 30.8. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,29.02,0.0,29.02,75.98,LOW,6436.0,-14.8886,0.854692,10,8,40.0,0.629,17.07,0,0,16.65,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,14.8,17.47,GREEN,False,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 29.0/100.",Objective A identified an unusual symptom pattern. Objective A evidence score is 29.0. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 17.1%. combined epidemiological corroboration score is 14.8. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Muscle Pain + Rash,D003,Chikungunya,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,26.73,0.0,26.73,95.06,LOW,6436.0,-14.8886,0.854692,10,4,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,15.83,GREEN,False,The pattern is consistent with the expected presentation of Chikungunya. The pattern is present across several hospitals. Clinical evidence is currently limited. Final emerging-signal score: 26.7/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 26.7. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,25.15,0.0,25.15,84.91,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.631,9.62,0,0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.55,0.0,0.0,0.0,0.0,0.0,14.15,15.4,GREEN,False,The pattern is consistent with the expected presentation of Typhoid Fever. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 25.1/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 25.1. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.63. with a maximum deviation of 9.6%. combined epidemiological corroboration score is 14.2. the available evidence does not currently support an elevated integrated surveillance alert.
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,,KNOWN_DISEASE_EXPECTED,EXPECTED_KNOWN_DISEASE_PATTERN,25.22,0.0,25.22,77.81,LOW,6436.0,-14.8886,0.854692,10,5,40.0,0.298,4.09,0,0,6.68,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.28,0.0,0.0,0.0,0.0,0.0,12.31,15.07,GREEN,False,The pattern is consistent with the expected presentation of Dengue. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 25.2/100.,Objective A identified an unusual symptom pattern. Objective A evidence score is 25.2. the strongest component symptom has 6436 current cases. with -14.9% recent growth. baseline evidence reaches z=0.30. with a maximum deviation of 4.1%. combined epidemiological corroboration score is 12.3. the available evidence does not currently support an elevated integrated surveillance alert.
