symptom_pattern,encounter_count,mean_disease_similarity,mean_density_novelty,mean_cluster_novelty,mean_representation_novelty,max_representation_novelty,best_matching_disease_id,high_novelty_encounters,moderate_or_high_novelty_encounters,a7_evidence_status,best_matching_disease_id_a6,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation,a7_raw_novelty_score,a7_novelty_score,a7_novelty_level,a7_interpretation
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,1759,0.7494930005892095,93.15890686339388,87.2209548839048,90.18993087364935,100.0,D003,1588,1759,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,10,100.0,50,-0.1151002478896469,2.3,47.36,MULTI-HOSPITAL,36.25,14.51,41.61,22.286,57.15,71.75,49.06,40.56,92.38,MODERATE_CLINICAL_SUPPORT,27.64835292311367,39.6,85.28,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.6/100.,90.18993087364933,31.79,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,1716,0.7509938663895291,93.08347268375024,86.96127055340116,90.0223716185757,100.0,D003,1572,1716,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,7,70.0,42,0.1495141072967816,2.7142857142857144,44.93,MULTI-HOSPITAL,35.67,14.43,41.21,21.956000000000003,57.56,72.2,49.41,40.98,92.95,MODERATE_CLINICAL_SUPPORT,31.69013289947141,39.7,87.33,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.7/100.,90.0223716185757,31.72,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,241,0.9909617146447383,100.0,100.0,100.0,100.0,D006,241,241,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,5,4.177770220928193,1.0,41.62,LIMITED,42.23,12.43,42.48,25.363,41.42,12.2,72.89,56.27,0.0,MODERATE_CLINICAL_SUPPORT,57.318808782915546,40.65,91.06,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 40.6/100.,100.0,31.62,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,234,0.9932977637827137,100.0,100.0,100.0,100.0,D006,234,234,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,6,1.6007919366450682,2.5,52.35,LIMITED,49.08,14.31,51.87,29.727,41.18,12.02,72.65,55.9,0.0,MODERATE_CLINICAL_SUPPORT,45.63865360128195,42.56,94.49,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 42.6/100.,100.0,31.59,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Abdominal Pain + Dehydration + Diarrhoea + Fever + Nausea + Vomiting,289,1.0000000000000002,100.0,100.0,100.0,100.0,D008,289,289,SUFFICIENT_MATCHING_ENCOUNTERS,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,10,100.0,97,0.0746331540495183,3.7,59.87,MULTI-HOSPITAL,47.81,13.18,57.47,29.652,38.88,7.63,71.45,56.06,0.0,WEAK_CLINICAL_SUPPORT,39.29863746454288,42.95,88.24,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Acute Gastroenteritis. The pattern is observed across multiple hospitals. Clinical evidence is currently limited. Final emerging-signal score: 43.0/100.,100.0,31.5,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,216,1.0000000000000002,100.0,100.0,100.0,100.0,D006,216,216,SUFFICIENT_MATCHING_ENCOUNTERS,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,10,100.0,59,-0.1975487915109147,3.5,53.22,MULTI-HOSPITAL,42.86,11.46,48.85,26.315,41.28,12.11,72.92,55.83,0.0,MODERATE_CLINICAL_SUPPORT,35.23660851514596,39.91,91.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.9/100.,100.0,31.5,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Headache + Muscle Pain + Rash + Vomiting,2111,0.7598718320431497,93.73440505511451,84.73811269218604,89.23625887365029,100.0,D003,1796,2111,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,8,2.780259745432051,1.3333333333333333,43.65,LIMITED,44.43,16.83,45.7,26.785,57.09,72.27,48.03,40.62,92.99,MODERATE_CLINICAL_SUPPORT,57.43477609057982,45.55,92.3,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.5/100.,89.23625887365027,31.35,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Headache + Joint Pain + Muscle Pain + Nausea,2162,0.734011303522422,93.252428927557,81.71552047783563,87.48397470269633,100.0,D003,1947,1947,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,11,1.6266979917832998,2.333333333333333,48.67,LIMITED,48.68,17.96,51.35,29.475,57.07,72.47,48.03,40.19,93.15,MODERATE_CLINICAL_SUPPORT,47.0059808213644,45.64,94.71,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 45.6/100.,87.48397470269632,31.15,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,972,0.9954209938131203,96.58509140891013,99.97314080145483,98.27911610518248,99.78244049178423,D005,972,972,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,4,40.0,12,0.309452993793662,2.0,33.32,WIDESPREAD,27.6,9.33,31.38,16.938000000000002,65.88,63.96,75.5,57.78,86.32,STRONG_CLINICAL_SUPPORT,25.592585013647685,35.82,79.05,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.8/100.",98.27911610518248,31.02,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,976,0.9951357442473804,96.59908693592278,99.91965309053245,98.2593700132276,99.3873548153099,D005,976,976,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,15,0.068287161230411,2.4,33.59,WIDESPREAD,24.61,8.92,29.3,15.235,65.62,63.55,75.39,57.6,85.66,STRONG_CLINICAL_SUPPORT,25.060004954142496,35.3,79.05,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.3/100.",98.25937001322762,31.02,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,912,0.9999999999999999,96.36042637002264,100.0,98.18021318501131,98.1802131850113,D005,912,912,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,9,90.0,250,-0.0641715959298497,5.0,64.48,MULTI-HOSPITAL,47.13,13.5,61.46,29.711,65.78,63.81,75.53,57.63,86.07,STRONG_CLINICAL_SUPPORT,49.16666666666667,53.05,90.95,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 53.0/100.",98.18021318501133,30.93,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Muscle Pain + Rash + Retro-orbital Pain,4341,0.7455508322487862,93.67284437445181,78.00746364942854,85.84015401194017,100.0,D003,3913,4341,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,3,30.0,11,2.166746098765348,1.6666666666666667,46.51,LIMITED,43.02,18.0,48.26,26.336,56.23,71.99,46.82,39.14,92.35,MODERATE_CLINICAL_SUPPORT,51.21781353720624,44.84,95.24,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 44.8/100.,85.84015401194017,30.47,MINIMAL,CONSISTENT_WITH_ESTABLISHED_PATTERNS
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,3557,0.7653362168000465,92.7901972706015,79.50574375765254,86.14797051412702,100.0,D003,3226,3557,SUFFICIENT_MATCHING_ENCOUNTERS,D001,Dengue,,KNOWN_DISEASE_EXPECTED,2,20.0,9,0.1673834376937451,1.0,18.38,LIMITED,14.08,10.4,16.93,8.733,56.73,72.14,47.93,39.54,92.72,MODERATE_CLINICAL_SUPPORT,16.67855129763658,25.22,77.81,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 25.2/100.,86.14797051412702,30.3,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Sore Throat,961,0.9962176741819511,96.54600296509952,94.90114464099896,95.72357380304925,98.1802131850113,D005,912,912,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,6,60.0,14,1.2591621646218094,1.3333333333333333,52.6,WIDESPREAD,49.81,13.63,52.88,30.193,65.74,63.72,75.58,57.57,85.95,STRONG_CLINICAL_SUPPORT,36.46730332774104,47.06,85.63,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 47.1/100.",95.72357380304925,30.2,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Taste + Sore Throat,972,0.9954209938131204,96.58509140891013,93.82716049382717,95.20612595136865,98.1802131850113,D005,912,912,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,13,0.7759130672888515,2.0,47.98,WIDESPREAD,43.8,12.59,47.68,26.668,65.65,63.59,75.39,57.65,85.7,STRONG_CLINICAL_SUPPORT,32.85772827819361,44.05,83.92,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 44.0/100.",95.20612595136865,30.05,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Muscle Pain + Rash,6173,0.7837610286493584,94.6795647502961,70.48036140019357,82.57996307524483,100.0,D003,5125,6173,SUFFICIENT_MATCHING_ENCOUNTERS,D003,Chikungunya,,KNOWN_DISEASE_EXPECTED,2,20.0,5,1.251963738834431,1.0,39.03,LIMITED,37.66,17.1,41.45,22.975,28.3,11.91,44.51,38.32,0.0,WEAK_CLINICAL_SUPPORT,31.09826486543201,30.75,94.55,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Platelet Count (HIGH); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Joint X-Ray: Joint space or inflammatory changes Abnormal musculoskeletal finding; Joint X-Ray: No significant structural abnormality No acute osseous abnormality; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Chikungunya. Clinical evidence is currently limited. Final emerging-signal score: 30.8/100.,82.57996307524483,28.93,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Fever + Headache + Muscle Pain + Rash,4974,0.8037304198697558,93.85152752225498,71.90739716865146,82.87946234545322,100.0,D003,4173,4974,SUFFICIENT_MATCHING_ENCOUNTERS,D003,Chikungunya,,KNOWN_DISEASE_EXPECTED,4,40.0,9,0.5452004368285531,1.25,33.88,WIDESPREAD,30.31,13.55,33.52,18.507,28.7,11.87,45.6,38.7,0.0,WEAK_CLINICAL_SUPPORT,23.804139617992035,26.73,95.06,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Platelet Count (HIGH); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Joint X-Ray: Joint space or inflammatory changes Abnormal musculoskeletal finding; Joint X-Ray: No significant structural abnormality No acute osseous abnormality; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Chikungunya. The pattern is present across several hospitals. Clinical evidence is currently limited. Final emerging-signal score: 26.7/100.,82.87946234545322,28.76,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Dry Cough + Fever + Loss of Smell,3613,0.9014841224277064,96.71861306499727,69.35229087886873,83.03545197193299,100.0,D005,2123,3564,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,2,20.0,9,7.500384887897985,2.5,53.02,LIMITED,44.98,18.76,52.44,27.734,60.59,63.77,60.27,55.25,86.22,STRONG_CLINICAL_SUPPORT,67.9177997322304,51.57,92.7,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. Temporal analysis indicates strong evidence of recent emergence or persistence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 51.6/100.",83.035451971933,27.49,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Dry Cough + Fever + Loss of Smell + Loss of Taste,2921,0.9240371933018638,96.17993247147784,64.00742957000425,80.09368102074104,100.0,D005,1489,2921,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,17,0.1403697817372014,1.6,32.13,WIDESPREAD,22.94,12.17,27.69,14.239,60.97,63.6,61.48,55.65,85.93,STRONG_CLINICAL_SUPPORT,21.900906574634213,32.82,80.15,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 32.8/100.",80.09368102074104,26.26,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,2416,0.9417352624801228,95.66731682852517,65.22409556607822,80.44570619730169,99.3873548153099,D005,1338,2416,SUFFICIENT_MATCHING_ENCOUNTERS,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,8,80.0,96,0.0977923671621731,3.875,55.62,MULTI-HOSPITAL,41.41,15.81,54.72,26.177,61.4,63.79,62.59,55.68,86.18,STRONG_CLINICAL_SUPPORT,40.62973443561975,46.71,89.5,WIDESPREAD_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is observed across multiple hospitals. Temporal analysis provides moderate evidence of emergence. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 46.7/100.",80.44570619730169,26.13,MINIMAL,CONSISTENT_WITH_ESTABLISHED_DISEASE
