symptom_pattern,hospitals_affected,hospital_coverage,total_anomalous_occurrences,spread_level,cross_hospital_score,mean_current_prevalence,max_current_prevalence,mean_prevalence_growth,max_prevalence_growth,mean_persistence_weeks,max_persistence_weeks,mean_emergence_score,max_emergence_score,emergence_evidence_score,best_matching_disease_id,best_matching_disease,best_matching_pathogen_type,best_matching_disease_category,best_matching_outbreak_potential,disease_compatibility_score,symptom_coverage,frequency_adjusted_coverage,disease_profile_coverage,jaccard_similarity,mandatory_symptom_coverage,expected_symptom_fraction,atypical_symptom_fraction,unexplained_symptom_fraction,matched_symptoms,expected_symptoms,atypical_symptoms,unexplained_symptoms,second_matching_disease,second_matching_pathogen_type,second_disease_compatibility_score,known_disease_emerging_score,novelty_score,inference_category,alert_level,explanation
Fever + Muscle Pain + Rash,2,0.2,5,LIMITED,39.03,0.000568,0.000656,1.252,2.081,1.0,1.0,30.09,39.5,41.45,D003,Chikungunya,Virus,Vector-borne,Medium,80.42,100.0,95.0,50.0,50.0,66.67,100.0,0.0,0.0,fever + muscle pain + rash,fever + muscle pain + rash,,,Dengue,Virus,78.75,37.66,17.1,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Chikungunya (compatibility 80.4%). The known pathogen type is virus. Expected symptoms include Fever, Muscle Pain, Rash. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Night Sweats + Persistent Cough,5,0.5,30,WIDESPREAD,46.02,0.001511,0.002215,0.4914,2.4496,2.6,4.0,35.99,65.0,44.9,D006,Tuberculosis,Bacteria,Respiratory,Medium,77.5,100.0,90.0,50.0,50.0,50.0,100.0,0.0,0.0,fever + night sweats + persistent cough,fever + night sweats + persistent cough,,,Typhoid Fever,Bacteria,34.17,36.87,19.11,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 77.5%). The known pathogen type is bacteria. Expected symptoms include Fever, Night Sweats, Persistent Cough. The pattern affects 5 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,10,1.0,50,MULTI-HOSPITAL,47.36,0.001351,0.001968,-0.1151,0.422,2.3,4.0,27.21,46.16,41.61,D001,Dengue,Virus,Vector-borne,High,86.25,100.0,85.0,66.67,66.67,100.0,83.33,16.67,0.0,fever + headache + muscle pain + rash + retro orbital pain + vomiting,fever + headache + muscle pain + rash + retro orbital pain,vomiting,,Chikungunya,Virus,62.08,36.25,14.51,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 86.2%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 10 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,7,0.7,21,MULTI-HOSPITAL,41.91,0.000817,0.001329,0.3316,1.1195,1.57,2.0,26.63,44.5,37.73,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,90.5,100.0,82.0,83.33,83.33,100.0,80.0,20.0,0.0,abdominal pain + diarrhoea + fever + headache + loss of appetite,abdominal pain + fever + headache + loss of appetite,diarrhoea,,Acute Gastroenteritis,Mixed,50.5,36.2,11.82,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 90.5%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fever, Headache, Loss Of Appetite. The pattern affects 7 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,7,0.7,42,MULTI-HOSPITAL,44.93,0.001615,0.003202,0.1495,0.7542,2.71,5.0,33.6,72.63,41.21,D001,Dengue,Virus,Vector-borne,High,86.25,100.0,85.0,66.67,66.67,100.0,83.33,16.67,0.0,fever + headache + joint pain + muscle pain + rash + vomiting,fever + headache + joint pain + muscle pain + rash,vomiting,,Chikungunya,Virus,81.37,35.67,14.43,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 86.2%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash. The pattern affects 7 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fatigue + Fever + Night Sweats + Persistent Cough,2,0.2,31,LIMITED,47.53,0.00441,0.004612,0.3381,0.4045,4.5,5.0,55.89,65.63,45.87,D006,Tuberculosis,Bacteria,Respiratory,Medium,82.19,100.0,88.75,66.67,66.67,50.0,100.0,0.0,0.0,fatigue + fever + night sweats + persistent cough,fatigue + fever + night sweats + persistent cough,,,Typhoid Fever,Bacteria,47.4,35.09,17.19,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Tuberculosis (compatibility 82.2%). The known pathogen type is bacteria. Expected symptoms include Fatigue, Fever, Night Sweats, Persistent Cough. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,2,0.2,13,LIMITED,41.18,0.001669,0.002452,0.5317,1.687,2.5,3.0,48.5,66.0,38.74,D008,Acute Gastroenteritis,Mixed,Food & Water-borne,High,92.75,100.0,91.0,83.33,83.33,100.0,100.0,0.0,0.0,abdominal pain + dehydration + diarrhoea + nausea + vomiting,abdominal pain + dehydration + diarrhoea + nausea + vomiting,,,Typhoid Fever,Bacteria,28.78,32.71,11.01,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Acute Gastroenteritis (compatibility 92.8%). The known pathogen type is mixed. Expected symptoms include Abdominal Pain, Dehydration, Diarrhoea, Nausea, Vomiting. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,8,0.8,40,MULTI-HOSPITAL,41.92,0.001345,0.0024,0.0194,0.7857,2.25,5.0,28.45,66.76,36.66,D001,Dengue,Virus,Vector-borne,High,86.25,100.0,85.0,66.67,66.67,100.0,83.33,16.67,0.0,fever + headache + joint pain + muscle pain + nausea + rash,fever + headache + joint pain + muscle pain + rash,nausea,,Chikungunya,Virus,81.37,31.97,13.52,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 86.2%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Fatigue + Fever + Loss of Appetite,8,0.8,29,MULTI-HOSPITAL,41.58,0.00101,0.001312,0.1421,0.7606,1.88,3.0,24.14,49.32,36.62,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,87.19,100.0,88.75,66.67,66.67,100.0,100.0,0.0,0.0,abdominal pain + fatigue + fever + loss of appetite,abdominal pain + fatigue + fever + loss of appetite,,,Influenza,Virus,41.36,31.1,13.09,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 87.2%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fatigue, Fever, Loss Of Appetite. The pattern affects 8 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Muscle Pain + Rash,4,0.4,9,WIDESPREAD,33.88,0.000562,0.000724,0.5452,2.1177,1.25,2.0,19.93,39.5,33.52,D003,Chikungunya,Virus,Vector-borne,Medium,84.79,100.0,92.5,66.67,66.67,66.67,100.0,0.0,0.0,fever + headache + muscle pain + rash,fever + headache + muscle pain + rash,,,Dengue,Virus,81.46,30.31,13.55,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Chikungunya (compatibility 84.8%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Muscle Pain, Rash. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,6,0.6,14,WIDESPREAD,33.64,0.000617,0.000736,0.1791,1.0698,1.5,2.0,20.21,59.5,29.44,D002,Malaria,Parasite,Vector-borne,High,91.07,100.0,79.29,87.5,87.5,100.0,71.43,28.57,0.0,anaemia + chills + fatigue + fever + headache + nausea + sweating,chills + fatigue + fever + headache + sweating,anaemia + nausea,,Typhoid Fever,Bacteria,45.64,30.09,9.91,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Malaria (compatibility 91.1%). The known pathogen type is parasite. Expected symptoms include Chills, Fatigue, Fever, Headache, Sweating. The pattern affects 6 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,4,0.4,51,WIDESPREAD,42.24,0.003207,0.004373,-0.039,0.0867,4.25,5.0,44.13,57.43,40.16,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,92.0,100.0,88.0,83.33,83.33,100.0,100.0,0.0,0.0,abdominal pain + fatigue + fever + headache + loss of appetite,abdominal pain + fatigue + fever + headache + loss of appetite,,,Influenza,Virus,50.45,29.94,11.63,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 92.0%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fatigue, Fever, Headache, Loss Of Appetite. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste + Sore Throat,2,0.2,67,LIMITED,42.57,0.008246,0.009007,-0.0039,0.0159,5.0,5.0,55.24,55.48,42.39,D005,COVID-19,Virus,Respiratory,High,93.21,100.0,90.0,85.71,85.71,100.0,100.0,0.0,0.0,dry cough + fatigue + fever + loss of smell + loss of taste + sore throat,dry cough + fatigue + fever + loss of smell + loss of taste + sore throat,,,Influenza,Virus,63.35,29.72,11.53,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 93.2%). The known pathogen type is virus. Expected symptoms include Dry Cough, Fatigue, Fever, Loss Of Smell, Loss Of Taste, Sore Throat. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,4,0.4,12,WIDESPREAD,33.32,0.000755,0.000961,0.3095,0.7075,2.0,3.0,23.79,42.23,31.38,D005,COVID-19,Virus,Respiratory,High,93.21,100.0,90.0,85.71,85.71,100.0,100.0,0.0,0.0,breathlessness + dry cough + fatigue + fever + loss of smell + loss of taste,breathlessness + dry cough + fatigue + fever + loss of smell + loss of taste,,,Influenza,Virus,49.66,27.6,9.33,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 93.2%). The known pathogen type is virus. Expected symptoms include Breathlessness, Dry Cough, Fatigue, Fever, Loss Of Smell, Loss Of Taste. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,5,0.5,15,WIDESPREAD,33.59,0.000754,0.001225,0.0683,0.5589,2.4,3.0,25.4,46.27,29.3,D005,COVID-19,Virus,Respiratory,High,93.21,100.0,90.0,85.71,85.71,100.0,100.0,0.0,0.0,breathlessness + dry cough + fever + loss of smell + loss of taste + sore throat,breathlessness + dry cough + fever + loss of smell + loss of taste + sore throat,,,Influenza,Virus,49.66,24.61,8.92,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 93.2%). The known pathogen type is virus. Expected symptoms include Breathlessness, Dry Cough, Fever, Loss Of Smell, Loss Of Taste, Sore Throat. The pattern affects 5 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,6,0.6,18,WIDESPREAD,28.73,0.000851,0.001103,0.0139,0.3693,1.33,2.0,17.05,29.5,24.01,D001,Dengue,Virus,Vector-borne,High,91.2,100.0,78.12,88.89,88.89,100.0,75.0,25.0,0.0,bleeding + fever + headache + joint pain + muscle pain + rash + retro orbital pain + vomiting,fever + headache + joint pain + muscle pain + rash + retro orbital pain,bleeding + vomiting,,Chikungunya,Virus,66.01,24.11,8.76,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 91.2%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 6 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Dry Cough + Fever + Loss of Smell + Loss of Taste,5,0.5,17,WIDESPREAD,32.13,0.000927,0.001225,0.1404,1.1195,1.6,2.0,26.4,39.5,27.69,D005,COVID-19,Virus,Respiratory,High,85.27,100.0,92.5,57.14,57.14,100.0,100.0,0.0,0.0,dry cough + fever + loss of smell + loss of taste,dry cough + fever + loss of smell + loss of taste,,,Influenza,Virus,47.3,22.94,12.17,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with COVID-19 (compatibility 85.3%). The known pathogen type is virus. Expected symptoms include Dry Cough, Fever, Loss Of Smell, Loss Of Taste. The pattern affects 5 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,4,0.4,14,WIDESPREAD,22.25,0.000813,0.001207,-0.2323,0.1547,1.5,2.0,14.17,18.55,19.3,D001,Dengue,Virus,Vector-borne,High,91.2,100.0,78.12,88.89,88.89,100.0,75.0,25.0,0.0,bleeding + fever + headache + joint pain + muscle pain + nausea + rash + retro orbital pain,fever + headache + joint pain + muscle pain + rash + retro orbital pain,bleeding + nausea,,Chikungunya,Virus,66.01,19.72,7.82,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 91.2%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Joint Pain, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 4 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,2,0.2,4,LIMITED,21.9,0.000579,0.000612,0.1124,0.3889,2.0,2.0,18.84,24.67,20.07,D007,Typhoid Fever,Bacteria,Food & Water-borne,Medium,90.5,100.0,82.0,83.33,83.33,100.0,80.0,20.0,0.0,abdominal pain + diarrhoea + fatigue + fever + headache,abdominal pain + fatigue + fever + headache,diarrhoea,,Acute Gastroenteritis,Mixed,50.5,19.69,8.29,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Typhoid Fever (compatibility 90.5%). The known pathogen type is bacteria. Expected symptoms include Abdominal Pain, Fatigue, Fever, Headache. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,2,0.2,9,LIMITED,18.38,0.001118,0.001362,0.1674,0.1737,1.0,1.0,16.77,17.33,16.93,D001,Dengue,Virus,Vector-borne,High,84.42,100.0,91.0,55.56,55.56,100.0,100.0,0.0,0.0,fever + headache + muscle pain + rash + retro orbital pain,fever + headache + muscle pain + rash + retro orbital pain,,,Chikungunya,Virus,71.26,14.08,10.4,KNOWN_DISEASE_EXPECTED,LOW,"The observed pattern is strongly compatible with Dengue (compatibility 84.4%). The known pathogen type is virus. Expected symptoms include Fever, Headache, Muscle Pain, Rash, Retro Orbital Pain. The pattern affects 2 hospital(s), but current evidence does not indicate a strong atypical or novel signal."
