symptom_pattern,hospital_id,occurrences,current_prevalence,prevalence_growth,persistence_weeks,emergence_score
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,H010,3,0.0007244626901714562,-0.43314087506311605,2,14.5
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H001,2,0.00043725404459991256,-0.17839965019676426,1,8.0
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H002,3,0.0008172160174339417,-0.3033687460274222,1,9.5
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H004,9,0.0021598272138228943,0.4776540953646787,5,60.33
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H005,3,0.0007505629221916438,-0.11712355695342934,1,9.5
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H006,2,0.0006404098623118795,-0.29832426086028396,1,8.0
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H007,8,0.002942258183155572,1.1283560132401618,2,52.0
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H008,4,0.001224739742804654,0.3888548683404777,4,37.67
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H010,5,0.001207437816952427,0.2990521613136924,2,41.47
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Vomiting,H007,2,0.000735564545788893,0.06417800662008089,2,14.93
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H001,5,0.0010931351114997813,0.14111159694893827,1,16.73
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H002,6,0.0016344320348678834,0.2539362571506402,5,41.62
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H004,3,0.0007199424046076314,-0.3596832253419727,1,9.5
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H005,6,0.0015011258443832875,0.23602702026519892,3,46.08
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H006,10,0.003202049311559398,0.75418934784929,4,72.63
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H008,4,0.001224739742804654,-0.16668707899571344,1,11.0
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,H010,8,0.001931900507123883,0.18770483320109016,4,37.63
Fever + Headache + Muscle Pain + Nausea + Rash,H002,2,0.0005448106782892945,0.04494688095886678,2,14.35
Fever + Headache + Muscle Pain + Nausea + Rash,H006,2,0.0006404098623118795,1.1050272174191482,1,38.0
Fever + Headache + Muscle Pain + Nausea + Rash,H010,2,0.0004829751267809708,3.1569669162038156,1,38.0
Fever + Headache + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H002,4,0.001089621356578589,-0.24003863202991504,2,16.0
Fever + Headache + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H002,3,0.0008172160174339417,-0.37303187142467986,2,14.5
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,H002,2,0.0005448106782892945,0.3932625079451557,1,19.8
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,H003,5,0.0011074197120708748,4.174418604651163,3,52.5
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,H004,2,0.00047996160307175426,0.06719462443004559,1,10.02
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,H005,3,0.0007505629221916438,2.0900675506629973,2,59.5
Fever + Headache + Muscle Pain + Nausea + Rash + Vomiting,H009,3,0.0011529592621060721,5.358570330514988,2,44.5
Fever + Headache + Muscle Pain + Nausea + Retro-orbital Pain,H002,3,0.0008172160174339417,2.1348406428766005,2,59.5
Fever + Headache + Muscle Pain + Nausea + Retro-orbital Pain + Vomiting,H002,2,0.0005448106782892945,1.0898937619177336,2,43.0
Fever + Headache + Muscle Pain + Nausea + Vomiting,H003,2,0.00044296788482834997,1.0697674418604652,1,38.0
Fever + Headache + Muscle Pain + Rash,H002,2,0.0005448106782892945,-0.1640424952329065,1,8.0
Fever + Headache + Muscle Pain + Rash,H004,2,0.00047996160307175426,-0.14624430045596357,1,8.0
Fever + Headache + Muscle Pain + Rash,H005,2,0.0005003752814610958,0.3733633558502209,2,24.2
Fever + Headache + Muscle Pain + Rash,H010,3,0.0007244626901714562,2.1177251871528617,1,39.5
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,H001,4,0.0008745080891998251,0.17371478543319394,1,16.21
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,H002,5,0.001362026695723236,0.1610520899542963,1,17.33
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H001,9,0.0019676432006996065,0.42200060542867723,4,46.16
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H002,5,0.001362026695723236,-0.19619470695471794,1,20.0
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H003,5,0.0011074197120708748,-0.05919661733615231,3,37.5
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H004,6,0.0014398848092152627,-0.2885369170466363,2,19.0
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H005,5,0.0012509382036527395,-0.06361589373848578,2,17.5
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H006,4,0.001280819724623759,-0.23453555730212794,2,31.0
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H007,5,0.0018389113644722325,0.06417800662008098,3,39.43
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H008,5,0.0015309246785058174,-0.13196570728720147,3,22.5
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H009,2,0.0007686395080707148,-0.15219062259800153,1,8.0
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H010,4,0.0009659502535619416,-0.510945068681904,2,31.0
Fever + Headache + Muscle Pain + Rash + Vomiting,H001,3,0.0006558810668998689,5.162002623524268,1,39.5
Fever + Headache + Muscle Pain + Rash + Vomiting,H003,2,0.00044296788482834997,3.139534883720931,2,43.0
Fever + Headache + Muscle Pain + Rash + Vomiting,H010,3,0.0007244626901714562,0.039241729050953855,1,10.68
Fever + Headache + Muscle Pain + Retro-orbital Pain + Vomiting,H002,2,0.0005448106782892945,3.179787523835467,1,38.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash,H002,2,0.0005448106782892945,0.3932625079451557,1,19.8
Fever + Joint Pain + Muscle Pain + Nausea + Rash,H004,2,0.00047996160307175426,1.134389248860091,1,38.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash,H005,4,0.0010007505629221916,3.1200900675506626,3,51.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash,H008,3,0.0009185548071034905,2.124923453766075,3,49.5
Fever + Joint Pain + Muscle Pain + Nausea + Rash,H010,2,0.0004829751267809708,1.0784834581019078,1,38.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H001,2,0.00043725404459991256,1.0540008745080893,2,43.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H002,2,0.0005448106782892945,1.0898937619177336,2,43.0
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H006,3,0.0009606147934678194,5.315081652257445,1,39.5
Fever + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,H010,2,0.0004829751267809708,1.0784834581019078,1,38.0
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,H002,4,0.001089621356578589,7.359575047670933,3,51.0
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,H005,2,0.0005003752814610958,-0.4114157046356196,1,8.0
Fever + Joint Pain + Muscle Pain + Rash + Vomiting,H006,3,0.0009606147934678194,5.315081652257445,2,44.5
Fever + Muscle Pain + Nausea + Rash + Retro-orbital Pain,H002,3,0.0008172160174339417,0.5674203214383001,3,36.52
Fever + Muscle Pain + Nausea + Rash + Retro-orbital Pain + Vomiting,H002,2,0.0005448106782892945,0.3932625079451557,2,24.8
Fever + Muscle Pain + Nausea + Rash + Vomiting,H002,2,0.0005448106782892945,3.179787523835467,1,38.0
Fever + Muscle Pain + Nausea + Rash + Vomiting,H005,2,0.0005003752814610958,1.0600450337753313,2,43.0
Fever + Muscle Pain + Nausea + Rash + Vomiting,H010,3,0.0007244626901714562,5.2354503743057235,2,59.5
Fever + Muscle Pain + Rash,H001,3,0.0006558810668998689,2.081001311762134,1,39.5
Fever + Muscle Pain + Rash,H004,2,0.00047996160307175426,0.42292616590672755,1,20.69
Fever + Muscle Pain + Rash + Retro-orbital Pain,H001,3,0.0006558810668998689,0.23240052470485367,1,16.47
Fever + Muscle Pain + Rash + Retro-orbital Pain,H005,5,0.0012509382036527395,4.150112584438328,2,47.5
Fever + Muscle Pain + Rash + Retro-orbital Pain,H010,3,0.0007244626901714562,2.1177251871528617,2,44.5
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H001,2,0.00043725404459991256,-0.17839965019676426,2,13.0
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H004,2,0.00047996160307175426,0.42292616590672755,1,20.69
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H005,4,0.0010007505629221916,0.6480360270202651,1,45.44
Fever + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,H008,2,0.000612369871402327,3.1665646050214327,2,43.0
Fever + Muscle Pain + Rash + Vomiting,H007,2,0.000735564545788893,0.4189040088267746,2,25.57
Fever + Night Sweats + Persistent Cough,H002,4,0.001089621356578589,-0.3569557655637743,1,26.0
Fever + Night Sweats + Persistent Cough,H003,10,0.0022148394241417496,2.449612403100775,4,65.0
Fever + Night Sweats + Persistent Cough,H005,8,0.0020015011258443832,0.8311511411336279,4,56.93
Fever + Night Sweats + Persistent Cough,H006,4,0.001280819724623759,-0.29832426086028396,3,21.0
Fever + Night Sweats + Persistent Cough,H010,4,0.0009659502535619416,-0.16860661675923694,1,11.0
Night Sweats + Persistent Cough,H003,2,0.00044296788482834997,1.0697674418604652,2,43.0
