symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,hospitals_affected,hospital_coverage,cross_hospital_score,mean_persistence_weeks,mean_prevalence_growth,total_anomalous_occurrences,inference_category,alert_level,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,abnormal_lab_rate,supporting_lab_tests,supporting_imaging_findings,clinical_support_category,combined_surveillance_score,final_interpretation,explanation
Abdominal Pain + Diarrhoea + Fever + Loss of Appetite,D007,Typhoid Fever,Unknown,3,0.3,50.05,2.0,2.1062,7,KNOWN_DISEASE_EXPECTED,LOW,46.35,54.63,45.0,33.05,69.67,28.6,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,48.39,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,Unknown,5,0.5,33.59,2.4,0.0683,15,KNOWN_DISEASE_EXPECTED,LOW,65.62,63.55,75.39,57.6,85.66,23.73,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,48.0,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Fever + Loss of Appetite,D007,Typhoid Fever,Unknown,3,0.3,50.29,2.33,1.0669,9,KNOWN_DISEASE_EXPECTED,LOW,45.15,53.93,43.54,31.28,68.58,28.61,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,47.98,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,Unknown,4,0.4,33.32,2.0,0.3095,12,KNOWN_DISEASE_EXPECTED,LOW,65.88,63.96,75.5,57.78,86.32,23.69,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,47.97,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,Unknown,10,1.0,53.22,3.5,-0.1975,59,KNOWN_DISEASE_EXPECTED,LOW,41.28,12.11,72.92,55.83,0.0,40.67,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,MODERATE_CLINICAL_SUPPORT,47.85,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Chest Pain + Fatigue + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,Unknown,2,0.2,52.35,2.5,1.6008,6,KNOWN_DISEASE_EXPECTED,LOW,41.18,12.02,72.65,55.9,0.0,40.49,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,MODERATE_CLINICAL_SUPPORT,47.32,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,Unknown,3,0.3,48.07,1.67,1.0987,6,KNOWN_DISEASE_EXPECTED,LOW,46.38,54.37,44.79,33.94,69.53,28.01,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,47.31,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,Unknown,10,1.0,52.18,3.0,0.0397,59,KNOWN_DISEASE_EXPECTED,LOW,41.33,12.01,73.11,55.96,0.0,40.31,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,MODERATE_CLINICAL_SUPPORT,47.3,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,D002,Malaria,Unknown,3,0.3,38.51,1.33,0.8943,8,KNOWN_DISEASE_EXPECTED,LOW,57.5,63.78,66.67,35.2,86.67,22.73,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,47.06,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,2,0.2,47.35,2.0,4.1665,6,KNOWN_DISEASE_EXPECTED,LOW,46.42,54.77,44.8,33.31,70.4,27.61,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,46.93,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,8,0.8,46.0,1.62,0.3736,23,KNOWN_DISEASE_EXPECTED,LOW,47.1,54.48,46.61,34.4,69.86,27.75,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,46.5,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Abdominal Pain + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,3,0.3,46.12,1.33,2.222,10,KNOWN_DISEASE_EXPECTED,LOW,46.01,54.23,45.25,32.12,69.09,28.62,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,46.07,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Dry Cough + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,Unknown,5,0.5,32.13,1.6,0.1404,17,KNOWN_DISEASE_EXPECTED,LOW,60.97,63.6,61.48,55.65,85.93,23.39,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,STRONG_CLINICAL_SUPPORT,45.11,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,D002,Malaria,Unknown,6,0.6,33.64,1.5,0.1791,14,KNOWN_DISEASE_EXPECTED,LOW,57.7,64.64,65.29,36.09,87.22,24.07,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,44.47,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,Unknown,5,0.5,42.52,1.6,0.6554,16,KNOWN_DISEASE_EXPECTED,LOW,46.7,53.75,46.71,34.01,68.46,28.23,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,44.4,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,7,0.7,41.91,1.57,0.3316,21,KNOWN_DISEASE_EXPECTED,LOW,47.23,54.91,46.81,33.91,70.36,28.16,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,44.3,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,Unknown,4,0.4,42.24,4.25,-0.039,51,KNOWN_DISEASE_EXPECTED,LOW,46.48,53.98,46.69,32.72,68.92,28.13,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,44.15,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,Unknown,6,0.6,28.73,1.33,0.0139,18,KNOWN_DISEASE_EXPECTED,LOW,61.98,71.13,62.55,44.82,92.94,30.8,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,STRONG_CLINICAL_SUPPORT,43.69,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,Unknown,8,0.8,41.58,1.88,0.1421,29,KNOWN_DISEASE_EXPECTED,LOW,45.43,53.36,44.83,31.88,68.0,27.97,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,43.31,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,Unknown,2,0.2,41.62,1.0,4.1778,5,KNOWN_DISEASE_EXPECTED,LOW,41.42,12.2,72.89,56.27,0.0,40.99,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,MODERATE_CLINICAL_SUPPORT,41.53,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Fatigue + Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,Unknown,2,0.2,47.53,4.5,0.3381,31,KNOWN_DISEASE_EXPECTED,LOW,33.47,11.97,48.42,54.24,0.0,40.26,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,WEAK_CLINICAL_SUPPORT,41.2,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because supporting imaging findings are present.
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Retro-orbital Pain,D001,Dengue,Unknown,4,0.4,22.25,1.5,-0.2323,14,KNOWN_DISEASE_EXPECTED,LOW,62.74,72.29,62.96,45.26,93.57,33.21,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,STRONG_CLINICAL_SUPPORT,40.47,CLINICALLY_SUPPORTED_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; abnormal vital signs provide additional support; supporting imaging findings are present.
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,D008,Acute Gastroenteritis,Unknown,2,0.2,41.18,2.5,0.5317,13,KNOWN_DISEASE_EXPECTED,LOW,38.78,7.58,71.47,55.73,0.0,27.9,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,WEAK_CLINICAL_SUPPORT,40.1,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because abnormal vital signs provide additional support; supporting imaging findings are present.
Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,Unknown,5,0.5,46.02,2.6,0.4914,30,KNOWN_DISEASE_EXPECTED,LOW,32.73,11.91,45.94,54.33,0.0,40.07,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,WEAK_CLINICAL_SUPPORT,40.04,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because supporting imaging findings are present.
Diarrhoea + Fever + Vomiting,D008,Acute Gastroenteritis,Unknown,2,0.2,45.78,2.0,1.0109,9,KNOWN_DISEASE_EXPECTED,LOW,30.41,7.64,46.38,52.21,0.0,28.18,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,WEAK_CLINICAL_SUPPORT,38.86,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because supporting imaging findings are present.
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain,D001,Dengue,Unknown,2,0.2,18.38,1.0,0.1674,9,KNOWN_DISEASE_EXPECTED,LOW,56.73,72.14,47.93,39.54,92.72,34.33,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,MODERATE_CLINICAL_SUPPORT,35.64,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific diagnostic testing provides strong support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Muscle Pain + Rash,D003,Chikungunya,Unknown,2,0.2,39.03,1.0,1.252,5,KNOWN_DISEASE_EXPECTED,LOW,28.3,11.91,44.51,38.32,0.0,34.39,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Platelet Count (HIGH); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Joint X-Ray: Joint space or inflammatory changes Abnormal musculoskeletal finding; Joint X-Ray: No significant structural abnormality No acute osseous abnormality; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,WEAK_CLINICAL_SUPPORT,34.2,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because supporting imaging findings are present.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache,D007,Typhoid Fever,Unknown,2,0.2,21.9,2.0,0.1124,4,KNOWN_DISEASE_EXPECTED,LOW,47.11,53.28,47.81,35.16,67.62,28.58,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,MODERATE_CLINICAL_SUPPORT,33.24,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because Disease-specific testing provides some support; laboratory abnormalities support the clinical signal; supporting imaging findings are present.
Fever + Headache + Muscle Pain + Rash,D003,Chikungunya,Unknown,4,0.4,33.88,1.25,0.5452,9,KNOWN_DISEASE_EXPECTED,LOW,28.7,11.87,45.6,38.7,0.0,34.25,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Platelet Count (HIGH); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Joint X-Ray: Joint space or inflammatory changes Abnormal musculoskeletal finding; Joint X-Ray: No significant structural abnormality No acute osseous abnormality; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,WEAK_CLINICAL_SUPPORT,31.55,LOWER_PRIORITY_SURVEILLANCE_SIGNAL,Clinical evidence supports the A4 surveillance signal because supporting imaging findings are present.
