symptom_pattern,best_matching_disease_id,best_matching_disease,pathogen_type,inference_category,hospitals_affected,hospital_coverage_pct,total_anomalous_occurrences,mean_prevalence_growth,mean_persistence_weeks,cross_hospital_score,spread_level,known_disease_emerging_score,novelty_score,emergence_evidence_score,disease_inference_signal,clinical_evidence_score,lab_support_score,vital_support_score,imaging_support_score,disease_specific_test_support,clinical_support_category,temporal_emergence_score,final_emerging_score,confidence_score,signal_type,final_alert_level,supporting_lab_tests,supporting_imaging_findings,final_explanation
Abdominal Pain + Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,8,80.0,99,-0.0051950206674796,3.5,51.78,MULTI-HOSPITAL,40.31,12.03,50.28,25.183,47.72,54.29,48.65,34.77,69.36,MODERATE_CLINICAL_SUPPORT,37.08559946446081,41.18,92.56,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.2/100.
Abdominal Pain + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,3,30.0,9,1.066896742527756,2.333333333333333,50.29,LIMITED,45.92,18.23,51.79,28.139000000000003,45.15,53.93,43.54,31.28,68.58,MODERATE_CLINICAL_SUPPORT,37.94902864792452,41.0,93.93,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 41.0/100.
Chest Pain + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,5,4.177770220928193,1.0,41.62,LIMITED,42.23,12.43,42.48,25.363,41.42,12.2,72.89,56.27,0.0,MODERATE_CLINICAL_SUPPORT,57.318808782915546,40.65,91.06,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 40.6/100.
Chest Pain + Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,10,100.0,59,-0.1975487915109147,3.5,53.22,MULTI-HOSPITAL,42.86,11.46,48.85,26.315,41.28,12.11,72.92,55.83,0.0,MODERATE_CLINICAL_SUPPORT,35.23660851514596,39.91,91.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.9/100.
Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,3,30.0,6,1.0987183364909052,1.6666666666666667,48.07,LIMITED,47.17,16.29,48.38,28.423000000000002,46.38,54.37,44.79,33.94,69.53,MODERATE_CLINICAL_SUPPORT,33.2464384878584,39.77,92.05,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.8/100.
Fever + Headache + Joint Pain + Muscle Pain + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,7,70.0,42,0.1495141072967816,2.7142857142857144,44.93,MULTI-HOSPITAL,35.67,14.43,41.21,21.956000000000003,57.56,72.2,49.41,40.98,92.95,MODERATE_CLINICAL_SUPPORT,31.690132899471415,39.7,87.33,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.7/100.
Fever + Headache + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,10,100.0,50,-0.1151002478896469,2.3,47.36,MULTI-HOSPITAL,36.25,14.51,41.61,22.286,57.15,71.75,49.06,40.56,92.38,MODERATE_CLINICAL_SUPPORT,27.64835292311367,39.6,85.28,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.6/100.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating + Vomiting,D002,Malaria,,KNOWN_DISEASE_EXPECTED,8,80.0,23,0.2000861373144374,2.125,45.13,MULTI-HOSPITAL,40.02,10.56,39.44,23.954,57.25,65.31,65.45,32.93,87.8,MODERATE_CLINICAL_SUPPORT,26.90044961047528,39.22,85.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,36,0.1745876155276388,2.125,44.48,MULTI-HOSPITAL,37.73,13.16,39.97,22.862,58.15,72.28,50.76,41.59,93.09,MODERATE_CLINICAL_SUPPORT,28.08477214217674,39.21,85.25,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 39.2/100.
Fatigue + Fever + Night Sweats + Persistent Cough + Weight Loss,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,10,100.0,59,0.0396963925723816,3.0,52.18,MULTI-HOSPITAL,39.07,12.78,47.57,24.292,41.33,12.01,73.11,55.96,0.0,MODERATE_CLINICAL_SUPPORT,32.91538773706502,38.64,90.54,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.6/100.
Anaemia + Chills + Fatigue + Fever + Headache + Sweating + Vomiting,D002,Malaria,,KNOWN_DISEASE_EXPECTED,3,30.0,8,0.8943409640899169,1.3333333333333333,38.51,LIMITED,43.35,12.33,41.54,25.829,57.5,63.78,66.67,35.2,86.67,MODERATE_CLINICAL_SUPPORT,29.145994370447802,38.21,85.85,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 38.2/100.
Fever + Headache + Joint Pain + Muscle Pain + Nausea + Rash,D001,Dengue,,KNOWN_DISEASE_EXPECTED,8,80.0,40,0.0193578387926508,2.25,41.92,MULTI-HOSPITAL,31.97,13.52,36.66,19.651,57.4,72.51,48.96,40.31,93.24,MODERATE_CLINICAL_SUPPORT,26.857060444404027,37.21,85.04,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Dengue. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 37.2/100.
Fatigue + Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,2,20.0,31,0.3380995579684422,4.5,47.53,LIMITED,35.09,17.19,45.87,22.132,33.47,11.97,48.42,54.24,0.0,WEAK_CLINICAL_SUPPORT,43.86611528913455,36.93,92.85,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. Temporal analysis provides moderate evidence of emergence. Clinical evidence is currently limited. Final emerging-signal score: 36.9/100.
Diarrhoea + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,8,80.0,23,0.3736216863051199,1.625,46.0,MULTI-HOSPITAL,39.92,12.59,41.59,24.119,47.1,54.48,46.61,34.4,69.86,MODERATE_CLINICAL_SUPPORT,26.58681617866885,36.92,88.69,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.9/100.
Abdominal Pain + Fatigue + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,4,40.0,51,-0.0389745170360635,4.25,42.24,WIDESPREAD,29.94,11.63,40.16,18.986,46.48,53.98,46.69,32.72,68.92,MODERATE_CLINICAL_SUPPORT,39.09363887458593,36.86,96.37,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.9/100.
Abdominal Pain + Diarrhoea + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,5,50.0,16,0.655369739828007,1.6,42.52,WIDESPREAD,41.12,12.69,42.05,24.765,46.7,53.75,46.71,34.01,68.46,MODERATE_CLINICAL_SUPPORT,29.41901462153981,36.51,91.17,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 36.5/100.
Breathlessness + Dry Cough + Fatigue + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,4,40.0,12,0.309452993793662,2.0,33.32,WIDESPREAD,27.6,9.33,31.38,16.938000000000002,65.88,63.96,75.5,57.78,86.32,STRONG_CLINICAL_SUPPORT,25.592585013647685,35.82,79.05,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.8/100."
Diarrhoea + Fever + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,2,20.0,9,1.0109419161226856,2.0,45.78,LIMITED,46.96,18.01,47.88,28.268,30.41,7.64,46.38,52.21,0.0,WEAK_CLINICAL_SUPPORT,35.16526180740402,35.44,92.29,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Acute Gastroenteritis. Clinical evidence is currently limited. Final emerging-signal score: 35.4/100.
Breathlessness + Dry Cough + Fever + Loss of Smell + Loss of Taste + Sore Throat,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,15,0.068287161230411,2.4,33.59,WIDESPREAD,24.61,8.92,29.3,15.235,65.62,63.55,75.39,57.6,85.66,STRONG_CLINICAL_SUPPORT,25.060004954142496,35.3,79.05,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 35.3/100."
Abdominal Pain + Diarrhoea + Fever + Headache + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,7,70.0,21,0.3315717692097898,1.5714285714285714,41.91,MULTI-HOSPITAL,36.2,11.82,37.73,21.873,47.23,54.91,46.81,33.91,70.36,MODERATE_CLINICAL_SUPPORT,25.328619931243523,34.91,88.81,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 34.9/100.
Fever + Night Sweats + Persistent Cough,D006,Tuberculosis,,KNOWN_DISEASE_EXPECTED,5,50.0,30,0.4913753802102215,2.6,46.02,WIDESPREAD,36.87,19.11,44.9,22.924999999999997,32.73,11.91,45.94,54.33,0.0,WEAK_CLINICAL_SUPPORT,34.96700129568396,34.71,93.03,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); ESR (HIGH); Hemoglobin (LOW); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,The pattern is consistent with the expected presentation of Tuberculosis. The pattern is present across several hospitals. Clinical evidence is currently limited. Final emerging-signal score: 34.7/100.
Abdominal Pain + Fatigue + Fever + Loss of Appetite,D007,Typhoid Fever,,KNOWN_DISEASE_EXPECTED,8,80.0,29,0.1420797186278984,1.875,41.58,MULTI-HOSPITAL,31.1,13.09,36.62,19.212,45.43,53.36,44.83,31.88,68.0,MODERATE_CLINICAL_SUPPORT,25.379713243976187,33.71,89.57,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); Bilirubin (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Typhoid Serology (POSITIVE); White Blood Cell Count (LOW),Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Typhoid Fever. The pattern is observed across multiple hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 33.7/100.
Abdominal Pain + Dehydration + Diarrhoea + Nausea + Vomiting,D008,Acute Gastroenteritis,,KNOWN_DISEASE_EXPECTED,2,20.0,13,0.5316638091941698,2.5,41.18,LIMITED,32.71,11.01,38.74,20.229,38.78,7.58,71.47,55.73,0.0,WEAK_CLINICAL_SUPPORT,32.11065607344006,33.53,95.4,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,C-Reactive Protein (HIGH); Hemoglobin (HIGH); Serum Creatinine (HIGH); Serum Potassium (HIGH); Serum Sodium (HIGH); White Blood Cell Count (HIGH),Abdominal CT: Inflammatory changes in abdominal structures Abnormal abdominal CT findings; Abdominal CT: No acute abdominal abnormality No significant acute finding; Abdominal Ultrasound: Mild bowel wall or abdominal inflammatory changes Abnormal abdominal sonographic findings; Abdominal Ultrasound: No significant abdominal abnormality Unremarkable abdominal ultrasound,The pattern is consistent with the expected presentation of Acute Gastroenteritis. Clinical evidence is currently limited. Final emerging-signal score: 33.5/100.
Anaemia + Chills + Fatigue + Fever + Headache + Nausea + Sweating,D002,Malaria,,KNOWN_DISEASE_EXPECTED,6,60.0,14,0.1791115461667085,1.5,33.64,WIDESPREAD,30.09,9.91,29.44,17.989,57.7,64.64,65.29,36.09,87.22,MODERATE_CLINICAL_SUPPORT,21.238766273136754,33.26,81.84,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); Malaria Parasite Test (POSITIVE); Platelet Count (HIGH); Serum Creatinine (HIGH); White Blood Cell Count (LOW),Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,The pattern is consistent with the expected presentation of Malaria. The pattern is present across several hospitals. Clinical evidence provides moderate support for the surveillance signal. Final emerging-signal score: 33.3/100.
Dry Cough + Fever + Loss of Smell + Loss of Taste,D005,COVID-19,,KNOWN_DISEASE_EXPECTED,5,50.0,17,0.1403697817372014,1.6,32.13,WIDESPREAD,22.94,12.17,27.69,14.239,60.97,63.6,61.48,55.65,85.93,STRONG_CLINICAL_SUPPORT,21.900906574634213,32.82,80.15,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Hemoglobin (HIGH); SARS-CoV-2 Test (POSITIVE); Serum Creatinine (HIGH); Serum Sodium (HIGH); SpO2 (LOW); White Blood Cell Count (HIGH),Chest CT: Bilateral ground-glass or patchy opacities Abnormal pulmonary findings; Chest CT: No significant pulmonary abnormality No acute thoracic abnormality; Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes,"The pattern is consistent with the expected presentation of COVID-19. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 32.8/100."
Bleeding + Fever + Headache + Joint Pain + Muscle Pain + Rash + Retro-orbital Pain + Vomiting,D001,Dengue,,KNOWN_DISEASE_EXPECTED,6,60.0,18,0.0138869920498028,1.3333333333333333,28.73,WIDESPREAD,24.11,8.76,24.01,14.456,61.98,71.13,62.55,44.82,92.94,STRONG_CLINICAL_SUPPORT,18.643811578134805,31.46,77.78,EXPECTED_KNOWN_DISEASE_PATTERN,LOW,Alanine Aminotransferase (HIGH); Aspartate Aminotransferase (HIGH); C-Reactive Protein (HIGH); Dengue IgM (POSITIVE); Dengue NS1 Antigen (POSITIVE); Platelet Count (LOW); Serum Sodium (HIGH); White Blood Cell Count (LOW),Chest X-Ray: No focal pulmonary opacity No acute cardiopulmonary abnormality; Chest X-Ray: Patchy pulmonary opacities Abnormal chest radiograph with pulmonary changes; Liver Ultrasound: Mild hepatomegaly Mild hepatic enlargement; Liver Ultrasound: Normal liver size and echotexture No significant hepatic abnormality,"The pattern is consistent with the expected presentation of Dengue. The pattern is present across several hospitals. Clinical evidence from laboratory results, vital signs and/or imaging strongly supports the surveillance signal. Final emerging-signal score: 31.5/100."
